national_number,gen,english_name,primary_type,secondary_type,description,image_link
1,I,Bulbasaur,grass,poison,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,static/Pokemon/bulbasaur.png
2,I,Ivysaur,grass,poison,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",static/Pokemon/ivysaur.png
3,I,Venusaur,grass,poison,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,static/Pokemon/venusaur.png
4,I,Charmander,fire,,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",static/Pokemon/charmander.png
5,I,Charmeleon,fire,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",static/Pokemon/charmeleon.png
6,I,Charizard,fire,flying,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,static/Pokemon/charizard.png
7,I,Squirtle,water,,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",static/Pokemon/squirtle.png
8,I,Wartortle,water,,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",static/Pokemon/wartortle.png
9,I,Blastoise,water,,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",static/Pokemon/blastoise.png
10,I,Caterpie,bug,,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",static/Pokemon/caterpie.png
11,I,Metapod,bug,,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",static/Pokemon/metapod.png
12,I,Butterfree,bug,flying,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",static/Pokemon/butterfree.png
13,I,Weedle,bug,poison,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,static/Pokemon/weedle.png
14,I,Kakuna,bug,poison,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",static/Pokemon/kakuna.png
15,I,Beedrill,bug,poison,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,static/Pokemon/beedrill.png
16,I,Pidgey,normal,flying,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",static/Pokemon/pidgey.png
17,I,Pidgeotto,normal,flying,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,static/Pokemon/pidgeotto.png
18,I,Pidgeot,normal,flying,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",static/Pokemon/pidgeot.png
19,I,Rattata,normal,dark,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",static/Pokemon/rattata.png
20,I,Raticate,normal,dark,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",static/Pokemon/raticate.png
21,I,Spearow,normal,flying,"Inept at flying high. However, it can fly around very fast to protect its territory.",static/Pokemon/spearow.png
22,I,Fearow,normal,flying,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",static/Pokemon/fearow.png
23,I,Ekans,poison,,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",static/Pokemon/ekans.png
24,I,Arbok,poison,,The frightening patterns on its belly have been studied. Six variations have been confirmed.,static/Pokemon/arbok.png
25,I,Pikachu,electric,,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,static/Pokemon/pikachu.png
26,I,Raichu,electric,electric,Its long tail serves as a ground to protect itself from its own high-voltage power.,static/Pokemon/raichu.png
27,I,Sandshrew,ground,ice,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.",static/Pokemon/sandshrew.png
28,I,Sandslash,ground,ice,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.",static/Pokemon/sandslash.png
30,I,Nidorina,poison,,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,static/Pokemon/nidorina.png
31,I,Nidoqueen,poison,ground,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",static/Pokemon/nidoqueen.png
32,I,Nidoran,poison,,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.",static/Pokemon/nidoran.png
33,I,Nidorino,poison,,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",static/Pokemon/nidorino.png
34,I,Nidoking,poison,ground,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",static/Pokemon/nidoking.png
35,I,Clefairy,fairy,,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,static/Pokemon/clefairy.png
36,I,Clefable,fairy,,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.",static/Pokemon/clefable.png
37,I,Vulpix,fire,ice,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",static/Pokemon/vulpix.png
38,I,Ninetales,fire,ice,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",static/Pokemon/ninetales.png
39,I,Jigglypuff,normal,fairy,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep.",static/Pokemon/jigglypuff.png
40,I,Wigglytuff,normal,fairy,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them.",static/Pokemon/wigglytuff.png
41,I,Zubat,poison,flying,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.",static/Pokemon/zubat.png
42,I,Golbat,poison,flying,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.",static/Pokemon/golbat.png
43,I,Oddish,grass,poison,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",static/Pokemon/oddish.png
44,I,Gloom,grass,poison,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,static/Pokemon/gloom.png
45,I,Vileplume,grass,poison,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",static/Pokemon/vileplume.png
46,I,Paras,bug,grass,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,static/Pokemon/paras.png
47,I,Parasect,bug,grass,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,static/Pokemon/parasect.png
48,I,Venonat,bug,poison,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",static/Pokemon/venonat.png
49,I,Venomoth,bug,poison,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,static/Pokemon/venomoth.png
50,I,Diglett,ground,ground,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.",static/Pokemon/diglett.png
51,I,Dugtrio,ground,ground,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.,static/Pokemon/dugtrio.png
52,I,Meowth,normal,dark,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",static/Pokemon/meowth.png
53,I,Persian,normal,dark,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed.",static/Pokemon/persian.png
54,I,Psyduck,water,,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.",static/Pokemon/psyduck.png
55,I,Golduck,water,,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display.",static/Pokemon/golduck.png
56,I,Mankey,fighting,,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,static/Pokemon/mankey.png
57,I,Primeape,fighting,,It stops being angry only when nobody else is around. To view this moment is very difficult.,static/Pokemon/primeape.png
58,I,Growlithe,fire,,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,static/Pokemon/growlithe.png
59,I,Arcanine,fire,,"The sight of it running over 6,200 miles in a single day and night has captivated many people.",static/Pokemon/arcanine.png
60,I,Poliwag,water,,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.",static/Pokemon/poliwag.png
61,I,Poliwhirl,water,,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,static/Pokemon/poliwhirl.png
62,I,Poliwrath,water,fighting,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.",static/Pokemon/poliwrath.png
63,I,Abra,psychic,,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,static/Pokemon/abra.png
64,I,Kadabra,psychic,,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.",static/Pokemon/kadabra.png
65,I,Alakazam,psychic,,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",static/Pokemon/alakazam.png
66,I,Machop,fighting,,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.",static/Pokemon/machop.png
67,I,Machoke,fighting,,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",static/Pokemon/machoke.png
68,I,Machamp,fighting,,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.,static/Pokemon/machamp.png
69,I,Bellsprout,grass,poison,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,static/Pokemon/bellsprout.png
70,I,Weepinbell,grass,poison,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.",static/Pokemon/weepinbell.png
71,I,Victreebel,grass,poison,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",static/Pokemon/victreebel.png
72,I,Tentacool,water,poison,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.,static/Pokemon/tentacool.png
73,I,Tentacruel,water,poison,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves.",static/Pokemon/tentacruel.png
74,I,Geodude,rock,ground,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry.",static/Pokemon/geodude.png
75,I,Graveler,rock,ground,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid.",static/Pokemon/graveler.png
76,I,Golem,rock,ground,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air.",static/Pokemon/golem.png
77,I,Ponyta,fire,psychic,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.",static/Pokemon/ponyta.png
78,I,Rapidash,fire,psychic,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",static/Pokemon/rapidash.png
79,I,Slowpoke,water,psychic,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either.",static/Pokemon/slowpoke.png
80,I,Slowbro,water,psychic,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.,static/Pokemon/slowbro.png
81,I,Magnemite,electric,steel,"At times, Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite, it’ll start moving again.",static/Pokemon/magnemite.png
82,I,Magneton,electric,steel,This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings.,static/Pokemon/magneton.png
83,I,Farfetch'd,normal,flying,"The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food.",static/Pokemon/farfetch'd.png
84,I,Doduo,normal,flying,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs.",static/Pokemon/doduo.png
85,I,Dodrio,normal,flying,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.,static/Pokemon/dodrio.png
86,I,Seel,water,,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.,static/Pokemon/seel.png
87,I,Dewgong,water,ice,"Its entire body is a snowy white. Unharmed by even intense cold, it swims powerfully in icy waters.",static/Pokemon/dewgong.png
88,I,Grimer,poison,poison,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.,static/Pokemon/grimer.png
89,I,Muk,poison,poison,"Smells so awful, it can cause fainting. Through degeneration of its nose, it lost its sense of smell.",static/Pokemon/muk.png
90,I,Shellder,water,,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.,static/Pokemon/shellder.png
91,I,Cloyster,water,ice,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking.",static/Pokemon/cloyster.png
92,I,Gastly,ghost,poison,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.",static/Pokemon/gastly.png
93,I,Haunter,ghost,poison,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes.",static/Pokemon/haunter.png
94,I,Gengar,ghost,poison,"On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing.",static/Pokemon/gengar.png
95,I,Onix,rock,ground,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid.",static/Pokemon/onix.png
96,I,Drowzee,psychic,,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past.",static/Pokemon/drowzee.png
97,I,Hypno,psychic,,Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.,static/Pokemon/hypno.png
98,I,Krabby,water,,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.,static/Pokemon/krabby.png
99,I,Kingler,water,,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.",static/Pokemon/kingler.png
100,I,Voltorb,electric,,It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.,static/Pokemon/voltorb.png
101,I,Electrode,electric,,Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.,static/Pokemon/electrode.png
102,I,Exeggcute,grass,psychic,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",static/Pokemon/exeggcute.png
103,I,Exeggutor,grass,psychic,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,static/Pokemon/exeggutor.png
104,I,Cubone,ground,,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head.",static/Pokemon/cubone.png
105,I,Marowak,ground,fire,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon.",static/Pokemon/marowak.png
106,I,Hitmonlee,fighting,,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.,static/Pokemon/hitmonlee.png
107,I,Hitmonchan,fighting,,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn.",static/Pokemon/hitmonchan.png
108,I,Lickitung,normal,,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either.",static/Pokemon/lickitung.png
109,I,Koffing,poison,,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.",static/Pokemon/koffing.png
110,I,Weezing,poison,poison,It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day.,static/Pokemon/weezing.png
111,I,Rhyhorn,ground,rock,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles.",static/Pokemon/rhyhorn.png
112,I,Rhydon,ground,rock,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.,static/Pokemon/rhydon.png
113,I,Chansey,normal,,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.,static/Pokemon/chansey.png
114,I,Tangela,grass,,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.",static/Pokemon/tangela.png
115,I,Kangaskhan,normal,,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.",static/Pokemon/kangaskhan.png
116,I,Horsea,water,,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes.",static/Pokemon/horsea.png
117,I,Seadra,water,,"It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison.",static/Pokemon/seadra.png
118,I,Goldeen,water,,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer.",static/Pokemon/goldeen.png
119,I,Seaking,water,,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.",static/Pokemon/seaking.png
120,I,Staryu,water,,"If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm.",static/Pokemon/staryu.png
121,I,Starmie,water,psychic,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.,static/Pokemon/starmie.png
122,I,Mr. Mime,psychic,fairy,The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.,static/Pokemon/mr. mime.png
123,I,Scyther,bug,flying,"As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree.",static/Pokemon/scyther.png
124,I,Jynx,ice,psychic,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice.",static/Pokemon/jynx.png
125,I,Electabuzz,electric,,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,static/Pokemon/electabuzz.png
126,I,Magmar,fire,,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,static/Pokemon/magmar.png
